year,period,periodName,date,series,value,md_rate,mn_rate
2022,M06,June,2022-06-01,tsl,5991,5463,5292.727272727273
2022,M06,June,2022-06-01,tsr,3.9,3.7,3.6272727272727274
2022,M06,June,2022-06-01,jol,10961,6305,7010
2022,M06,June,2022-06-01,jor,6.7,4.3,4.554545454545455
2022,M05,May,2022-05-01,ldl,1482,1773,1724.909090909091
2022,M05,May,2022-05-01,ldr,1,1.2,1.190909090909091
2022,M05,May,2022-05-01,ql,4208,3111,3162.6363636363635
2022,M05,May,2022-05-01,qr,2.8,2.1,2.1636363636363636
2022,M05,May,2022-05-01,hl,6545,5725,5798.272727272727
2022,M05,May,2022-05-01,hr,4.3,3.8,4.009090909090909
2022,M05,May,2022-05-01,tsl,6025,5270,5230.363636363636
2022,M05,May,2022-05-01,tsr,4,3.6,3.618181818181818
2022,M05,May,2022-05-01,jol,11443,5826,6987.727272727273
2022,M05,May,2022-05-01,jor,7,4,4.554545454545455
2022,M04,April,2022-04-01,ldl,1342,1764,2376.3636363636365
2022,M04,April,2022-04-01,ldr,0.9,1.2,1.709090909090909
2022,M04,April,2022-04-01,ql,4497,3028,3134.3636363636365
2022,M04,April,2022-04-01,qr,3,2.1,2.1636363636363636
2022,M04,April,2022-04-01,hl,6572,5294,5428.181818181818
2022,M04,April,2022-04-01,hr,4.3,3.7,3.7545454545454544
2022,M04,April,2022-04-01,tsl,6175,5441,5860.181818181818
2022,M04,April,2022-04-01,tsr,4.1,3.6,4.109090909090909
2022,M04,April,2022-04-01,jol,11755,6091,6923.909090909091
2022,M04,April,2022-04-01,jor,7.2,4,4.5181818181818185
2022,M03,March,2022-03-01,ldl,1395,1787,2759.2727272727275
2022,M03,March,2022-03-01,ldr,0.9,1.2,1.8545454545454545
2022,M03,March,2022-03-01,ql,4452,3150,3193.181818181818
2022,M03,March,2022-03-01,qr,2.9,2.2,2.1818181818181817
2022,M03,March,2022-03-01,hl,6577,5395,5477.545454545455
2022,M03,March,2022-03-01,hr,4.3,3.7,3.7363636363636363
2022,M03,March,2022-03-01,tsl,6194,5494,6302.363636363636
2022,M03,March,2022-03-01,tsr,4.1,3.7,4.290909090909091
2022,M03,March,2022-03-01,jol,12027,6129,6884.909090909091
2022,M03,March,2022-03-01,jor,7.4,4.1,4.463636363636364
2022,M02,February,2022-02-01,ldl,1423,1757,1719.8181818181818
2022,M02,February,2022-02-01,ldr,0.9,1.2,1.1727272727272728
2022,M02,February,2022-02-01,ql,4313,3222,3232.181818181818
2022,M02,February,2022-02-01,qr,2.9,2.2,2.2181818181818183
2022,M02,February,2022-02-01,hl,6800,5624,5575.454545454545
2022,M02,February,2022-02-01,hr,4.5,3.8,3.818181818181818
2022,M02,February,2022-02-01,tsl,6071,5319,5295.181818181818
2022,M02,February,2022-02-01,tsr,4,3.7,3.6272727272727274
2022,M02,February,2022-02-01,jol,11601,6552,6862.727272727273
2022,M02,February,2022-02-01,jor,7.1,4.2,4.4363636363636365
2022,M01,January,2022-01-01,ldl,1425,1745,1725.909090909091
2022,M01,January,2022-01-01,ldr,0.9,1.2,1.1818181818181819
2022,M01,January,2022-01-01,ql,4391,3188,3187.4545454545455
2022,M01,January,2022-01-01,qr,2.9,2.2,2.172727272727273
2022,M01,January,2022-01-01,hl,6496,5512,5518.454545454545
2022,M01,January,2022-01-01,hr,4.3,3.8,3.790909090909091
2022,M01,January,2022-01-01,tsl,6235,5288,5264.454545454545
2022,M01,January,2022-01-01,tsr,4.2,3.6,3.6272727272727274
2022,M01,January,2022-01-01,jol,11487,6621,6870
2022,M01,January,2022-01-01,jor,7.1,4.3,4.454545454545454
2021,M12,December,2021-12-01,ldl,1398,1786.5,1743.3
